name,date,amount,categories
BREAST STROKE,Sun Feb 01 14:58:00 UTC 2009,2.5,SWIMMING (KM); Activity
BREAST STROKE,Thu Jan 29 14:58:00 UTC 2009,2.0,SWIMMING (KM); Activity
BREAST STROKE,Tue Jan 27 14:58:00 UTC 2009,2.0,SWIMMING (KM); Activity
BREAST STROKE,Sun Jan 25 14:58:00 UTC 2009,2.0,SWIMMING (KM); Activity
BREAST STROKE,Tue Jan 20 14:58:00 UTC 2009,1.5,SWIMMING (KM); Activity
BREAST STROKE,Fri Jan 16 14:58:00 UTC 2009,1.5,SWIMMING (KM); Activity
BREAST STROKE,Mon Jan 12 14:58:00 UTC 2009,1.5,SWIMMING (KM); Activity
BREAST STROKE,Sat Jan 10 14:58:00 UTC 2009,1.5,SWIMMING (KM); Activity
BREAST STROKE,Thu Jan 08 14:58:00 UTC 2009,1.5,SWIMMING (KM); Activity
BREAST STROKE,Tue Jan 06 21:02:00 UTC 2009,1.5,SWIMMING (KM); Activity
BREAST STROKE,Sun Jan 04 21:02:00 UTC 2009,1.5,SWIMMING (KM); Activity
BREAST STROKE,Fri Jan 02 21:02:00 UTC 2009,1.5,SWIMMING (KM); Activity
